engine_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,0.9976076269524266,0.9941092865756862,0.9900210112698948,0.9854953621540804,0.9806139241935012,0.9754288475481984,0.9699768432959328,0.9642853922968092,0.9583759664168722,0.952265882148296,0.9459694495906824,0.9394987258590368,0.9328640314063472,0.9260743167056172,0.9191374304311624,0.9120603205028228,0.904849188005202,0.8975096071865019,0.8900466205042542,0.8824648149618532,0.8747683841799023,0.8669611794272352,0.8590467519925824,0.8510283886822076,0.8429091418010586,0.8346918546628488,0.8263791834434602,0.8179736160188302,0.8094774882970124,0.8008929984532218
3,0.9977347353031024,0.9944222640473342,0.9905512014926042,0.9862660030855251,0.9816439191285892,0.9767343290095958,0.9715719933226428,0.9661829328516958,0.9605874786484594,0.9548020271685098,0.9488401282064622,0.942713198274886,0.936431009494326,0.9300020367932792,0.9234337118408416,0.9167326134093108,0.909904613115594,0.9029549890444272,0.8958885157442615,0.8887095365079911,0.8814220221464022,0.8740296193078877,0.8665356905988759,0.8589433481954558,0.85125548223161,0.8434747849539268,0.83560377141392,0.8276447973050454,0.8196000744270276,0.81147168416459
5,0.9977978113350268,0.9945775754559733,0.990814302187686,0.9866484246316742,0.9821550420647452,0.9773821589113902,0.9723635678610086,0.9671245651518644,0.9616849157198926,0.9560605594632716,0.9502646688841624,0.9443083426036698,0.9382010806387792,0.9319511219345896,0.9255656912262358,0.9190511841008662,0.912413308680898,0.905657196083412,0.8987874879101139,0.8918084065154115,0.8847238121433274,0.877537249901754,0.870251988765735,0.8628710542531781,0.8553972560226211,0.84783321135536,0.8401813652715915,0.8324440078707613,0.824623289365288,0.8167212331839793
8,0.9979908358225956,0.9950528574949924,0.9916194396590516,0.9878187062858772,0.9837191741102558,0.9793646399110832,0.9747859344078514,0.970006136593088,0.9650432789822996,0.9599119043224004,0.9546240305298784,0.9491897834183388,0.943617830316841,0.9379156880170278,0.9320899479973024,0.9261464452639,0.920090387615436,0.9139264564204026,0.907658886438528,0.9012915299297732,0.8948279087831248,0.888271257373501,0.8816245581463473,0.8748905714292852,0.8680718606108986,0.8611708135646273,0.8541896610017046,0.8471304922916024,0.8399952691780325,0.832785837733832
10,0.998020518305612,0.9951259443412714,0.9917432502678534,0.9879986672108486,0.9839596996697882,0.9796694973897612,0.9751584356111508,0.970449252367886,0.9655597137712432,0.96050414772017,0.9552943945838914,0.9499404305818198,0.9444507949958156,0.9388328935678406,0.9330932203967764,0.9272375242851147,0.9212709360938104,0.9151980680309328,0.9090230922937856,0.9027498042307828,0.8963816737001162,0.8899218872935113,0.8833733833951132,0.876738881552711,0.8700209072845455,0.8632218131866936,0.8563437970148698,0.8493889172711463,0.8423591067173201,0.835256184153183
6,0.9980326406796892,0.995155793127514,0.9917938147207586,0.9880721635437038,0.9840579306973648,0.979794001677177,0.97531056570512,0.970630221567078,0.9657706265744102,0.9607460208818064,0.9555681723479016,0.9502469960975994,0.9447909791180756,0.9392074817984236,0.9335029584675708,0.9276831227222606,0.9217530740019818,0.9157173962695764,0.909580236171752,0.9033453658141556,0.8970162338055174,0.8905960072228298,0.8840876064555319,0.8774937343968633,0.8708169010987551,0.8640594447499526,0.8572235496470823,0.8503112616859209,0.843324501792005,0.8362650776267699
9,0.9980875759713864,0.9952910596824512,0.9920229590246904,0.9884052288705504,0.9845030869117668,0.9803582211364484,0.975999977781921,0.9714503245999302,0.9667264258502904,0.9618421240546602,0.9568088584734664,0.9516362673679648,0.9463326007400932,0.9409050134521164,0.9353597796063812,0.9297024532567864,0.923937991449312,0.9180708501471344,0.9121050602086328,0.9060442884095729,0.8998918870619254,0.8936509348072372,0.8873242704878486,0.8809145215231251,0.8744241278759025,0.8678553624448293,0.861210348533621,0.8544910749097602,0.8476994088600792,0.8408371075700242
4,0.9980877601754592,0.9952915132460818,0.9920237273707349,0.98840634567521,0.9845045795694964,0.9803601130263284,0.9760022894564118,0.9714530744955652,0.9667296307503472,0.9618457994091092,0.9568130186304522,0.9516409257472772,0.9463377699668848,0.9409107054623858,0.9353660057318074,0.9297092242940832,0.923945317717733,0.9180787415367356,0.9121135262212194,0.9060533381937672,0.8999015294434569,0.8936611783153009,0.887335123378203,0.8809259917984567,0.8744362233038817,0.8678680905742012,0.861223716708615,0.854505090283048,0.8477140784044761,0.8408524380890944
1,0.9982850214917204,0.9957772275810496,0.9928465373642896,0.989602314655164,0.98610304383685,0.9823861088799474,0.9784778262109172,0.974397895551974,0.9701617090631468,0.9657816801144778,0.9612680669360928,0.9566295127005632,0.9518734156500188,0.9470061919530648,0.9420334679512048,0.9369602242778796,0.9317909061958514,0.926529509618666,0.9211796492444172,0.9157446132777805,0.9102274079260076,0.9046307939806428,0.8989573171917545,0.8932093337145037,0.8873890316012056,0.8814984490882954,0.8755394902619921,0.8695139385622859,0.863423468490615,0.8572696558142936
7,0.9985510805914906,0.9964323419296532,0.993956314437244,0.9912153953959352,0.9882589960126148,0.9851187005667986,0.9818167427954568,0.9783697662365228,0.9747907751342472,0.9710902570677408,0.967276878821254,0.9633579426790028,0.9593396991313322,0.9552275689524256,0.9510263056219116,0.9467401170855012,0.9423727589748024,0.9379276072835456,0.9334077159311812,0.9288158629954228,0.9241545883052028,0.9194262243471568,0.9146329219276452,0.9097766716715796,0.9048593221802412,0.8998825954812326,0.8948481002637969,0.8897573432878166,0.88461173927518,0.8794126195311098
